Row number,Year,Stlkey,Vessel code,Station,Setno,IPHC Reg Area,IPHC Stat Area,IPHC Charter Region,Purpose,Date,Eff,Ineffcde,BeginLat,BeginLon,BeginDepth (fm),EndLat,EndLon,EndDepth (fm),MidLat fished,MidLon fished,AvgDepth (fm),Lat - Grid target,Lon - Grid target,O32 Pacific halibut count,U32 Pacific halibut count,O32 Pacific halibut weight,U32 Pacific halibut weight,No. skates set,No. skates hauled,Avg no. hook/skate,Effective skates hauled,Soak time (min.)
1,2020,20200071,BDP,2059,1,2B,91,Goose Is.,Standard grid,27-Jun-20,Y,,51.33320,-128.47850,86,51.33300,-128.41680,80,51.3330,-128.4477,83,51.333,-128.450,5,15,76,125,8,8,99,7.95,429
2,2020,20200072,BDP,2052,2,2B,91,Goose Is.,Standard grid,27-Jun-20,Y,,51.18200,-128.46670,109,51.14100,-128.46670,99,51.1615,-128.4667,106,51.167,-128.467,6,3,110,27,8,8,99,7.95,546
3,2020,20200073,BDP,2051,3,2B,91,Goose Is.,Standard grid,27-Jun-20,Y,,51.16650,-128.17730,56,51.16680,-128.24250,66,51.1667,-128.2098,58,51.167,-128.200,8,5,241,39,8,8,99,7.95,642
4,2020,20200074,BDP,2079,4,2B,102,Goose Is.,Standard grid,28-Jun-20,Y,,51.83320,-128.72650,44,51.83330,-128.66270,78,51.8332,-128.6947,61,51.833,-128.700,5,42,57,302,8,8,99,7.95,445
5,2020,20200075,BDP,2078,5,2B,91,Goose Is.,Standard grid,28-Jun-20,Y,,51.83330,-128.46120,30,51.83330,-128.40120,91,51.8333,-128.4312,76,51.833,-128.433,11,11,331,81,8,8,99,7.95,575
6,2020,20200076,BDP,2073,6,2B,91,Goose Is.,Standard grid,28-Jun-20,Y,,51.66680,-128.46030,79,51.66650,-128.39670,79,51.6667,-128.4285,79,51.667,-128.433,24,23,372,194,8,8,99,7.95,669
7,2020,20200077,BDP,2268,7,2B,91,Goose Is.,Shallow expansion,29-Jun-20,Y,,51.66630,-128.17350,28,51.66670,-128.23370,52,51.6665,-128.2037,39,51.667,-128.183,12,9,308,63,8,8,99,7.95,436
8,2020,20200078,BDP,2267,8,2B,92,Goose Is.,Standard grid,29-Jun-20,Y,,51.65070,-127.91630,184,51.68780,-127.91800,186,51.6693,-127.9172,185,51.666,-127.915,27,11,562,97,8,8,99,7.95,525
9,2020,20200079,BDP,2270,9,2B,92,Goose Is.,Standard grid,29-Jun-20,Y,,51.84930,-127.91720,181,51.81020,-127.91670,190,51.8297,-127.9170,176,51.833,-127.915,21,6,402,60,8,8,99,7.95,625
10,2020,20200080,BDP,2272,10,2B,92,Goose Is.,Shallow expansion,30-Jun-20,Y,,52.17530,-126.86380,87,52.14900,-126.81720,156,52.1622,-126.8405,101,52.165,-126.841,7,1,340,8,8,8,99,7.95,423
11,2020,20200081,BDP,2275,11,2B,92,Goose Is.,Shallow expansion,30-Jun-20,Y,,52.33270,-127.12870,281,52.33080,-127.06770,154,52.3318,-127.0982,145,52.332,-127.103,4,0,122,0,8,8,99,7.95,522
12,2020,20200082,BDP,2086,12,2B,102,Goose Is.,Standard grid,01-Jul-20,Y,,52.16730,-128.72600,124,52.16670,-128.66670,122,52.1670,-128.6963,122,52.167,-128.683,1,1,14,11,8,8,99,7.95,464
13,2020,20200083,BDP,2083,13,2B,102,Goose Is.,Standard grid,01-Jul-20,Y,,52.00080,-128.73020,92,51.99930,-128.66820,88,52.0002,-128.6992,89,52.000,-128.700,18,21,268,182,8,8,100,8.03,565
14,2020,20200084,BDP,2084,14,2B,102,Goose Is.,Standard grid,01-Jul-20,Y,,52.00000,-128.98620,82,52.00020,-128.92270,62,52.0002,-128.9545,70,52.000,-128.967,64,143,869,"1,227",8,8,99,7.95,804
15,2020,20200085,BDP,2074,15,2B,102,Goose Is.,Standard grid,02-Jul-20,Y,,51.66600,-129.01500,36,51.66680,-128.95780,25,51.6665,-128.9863,28,51.667,-128.983,3,7,50,58,8,8,100,8.03,500
16,2020,20200086,BDP,2269,16,2B,102,Goose Is.,Standard grid,02-Jul-20,Y,,51.66670,-128.74770,20,51.66650,-128.67920,19,51.6665,-128.7135,19,51.667,-128.717,13,5,298,41,8,8,99,7.95,511
17,2020,20200087,BDP,2067,17,2B,91,Goose Is.,Standard grid,02-Jul-20,Y,,51.50020,-128.74680,26,51.49950,-128.68350,73,51.4998,-128.7152,52,51.500,-128.717,2,17,26,130,8,8,99,7.95,623
18,2020,20200230,VNI,2307,1,2B,114,St. James,Standard grid,28-Jun-20,Y,,53.52570,-129.20500,192,53.48470,-129.19830,200,53.5052,-129.2017,199,53.499,-129.193,13,0,281,0,8,8,99,7.95,465
19,2020,20200231,VNI,2283,2,2B,103,St. James,Standard grid,29-Jun-20,Y,,52.82000,-129.21270,50,52.86020,-129.21500,77,52.8400,-129.2138,62,52.833,-129.215,40,72,842,572,8,8,99,7.95,423
20,2020,20200232,VNI,2291,3,2B,114,St. James,Standard grid,29-Jun-20,Y,,52.98250,-129.46220,32,53.02030,-129.48270,16,53.0015,-129.4723,26,53.000,-129.473,21,9,607,67,8,8,99,7.95,540
21,2020,20200233,VNI,2298,4,2B,114,St. James,Shallow expansion,30-Jun-20,Y,,53.15480,-129.71000,48,53.19520,-129.71130,96,53.1750,-129.7107,82,53.167,-129.750,15,2,579,20,8,8,99,7.95,502
22,2020,20200234,VNI,2127,5,2B,112,St. James,Standard grid,30-Jun-20,Y,,53.01800,-129.75630,96,52.98030,-129.74820,30,52.9992,-129.7522,104,53.000,-129.750,21,16,441,109,8,8,99,7.95,609
23,2020,20200235,VNI,2286,6,2B,112,St. James,Standard grid,30-Jun-20,Y,,52.85580,-129.76170,37,52.81570,-129.76300,102,52.8357,-129.7623,61,52.833,-129.767,69,74,"1,579",623,8,8,99,7.95,775
24,2020,20200236,VNI,2278,7,2B,102,St. James,Standard grid,01-Jul-20,Y,,52.51950,-129.17980,72,52.48180,-129.18250,68,52.5007,-129.1812,67,52.500,-129.217,27,19,574,126,8,8,99,7.95,436
25,2020,20200237,VNI,2108,8,2B,102,St. James,Standard grid,01-Jul-20,Y,,52.34780,-129.21280,77,52.31080,-129.21150,86,52.3293,-129.2122,81,52.333,-129.217,86,21,"1,751",190,8,8,100,8.03,592
26,2020,20200238,VNI,2115,9,2B,102,St. James,Standard grid,02-Jul-20,Y,,52.50000,-129.50230,39,52.49820,-129.56880,57,52.4992,-129.5355,45,52.500,-129.533,51,20,"1,351",161,8,8,98,7.87,410
27,2020,20200239,VNI,2109,10,2B,102,St. James,Standard grid,02-Jul-20,Y,,52.35300,-129.46250,62,52.31550,-129.45520,91,52.3343,-129.4588,80,52.333,-129.500,89,22,"1,941",198,8,8,99,7.95,527
28,2020,20200240,VNI,2100,11,2B,102,St. James,Standard grid,03-Jul-20,Y,,52.18780,-128.94400,72,52.15100,-128.94750,90,52.1695,-128.9457,85,52.167,-128.950,48,38,967,347,8,8,99,7.95,420
29,2020,20200241,VNI,2095,12,2B,102,St. James,Standard grid,04-Jul-20,Y,,52.01620,-129.78100,62,51.97720,-129.78050,64,51.9967,-129.7808,62,52.000,-129.783,39,54,859,428,8,8,99,7.95,440
30,2020,20200242,VNI,2089,13,2B,102,St. James,Standard grid,04-Jul-20,Y,,51.83680,-129.81150,122,51.83580,-129.75450,145,51.8363,-129.7830,137,51.833,-129.783,4,1,77,4,8,8,99,7.95,554
31,2020,20200243,VNI,2087,14,2B,102,St. James,Standard grid,07-Jul-20,Y,,51.66720,-130.03270,195,51.66670,-130.09750,190,51.6668,-130.0650,193,51.667,-130.050,6,1,118,8,8,8,99,7.95,424
32,2020,20200244,VNI,2088,15,2B,102,St. James,Standard grid,07-Jul-20,Y,,51.66950,-130.28680,139,51.66930,-130.35380,146,51.6693,-130.3203,141,51.667,-130.317,21,2,552,16,8,8,99,7.95,571
33,2020,20200245,VNI,2274,16,2B,110,St. James,Standard grid,08-Jul-20,Y,,52.20400,-131.42020,47,52.16300,-131.41330,250,52.1835,-131.4167,109,52.167,-131.417,61,39,"1,632",314,8,8,99,7.95,486
34,2020,20200246,VNI,2273,17,2B,110,St. James,Shallow expansion,08-Jul-20,Y,,52.17550,-131.13330,19,52.13670,-131.13470,13,52.1560,-131.1340,20,52.166,-131.138,19,3,747,28,8,8,99,7.95,590
35,2020,20200247,VNI,2126,18,2B,112,St. James,Standard grid,09-Jul-20,Y,,52.83330,-130.29130,121,52.83350,-130.35270,106,52.8335,-130.3220,114,52.833,-130.317,12,1,315,10,8,8,99,7.95,408
36,2020,20200248,VNI,2124,19,2B,112,St. James,Standard grid,09-Jul-20,Y,,52.66800,-130.54670,79,52.66680,-130.61320,78,52.6675,-130.5800,79,52.667,-130.583,57,14,"1,487",128,8,8,99,7.95,526
37,2020,20200249,VNI,2277,20,2B,112,St. James,Standard grid,10-Jul-20,Y,,52.33400,-131.09680,63,52.33270,-131.03570,71,52.3333,-131.0662,68,52.334,-131.133,39,63,737,507,8,8,98,7.87,411
38,2020,20200250,VNI,2114,21,2B,112,St. James,Standard grid,10-Jul-20,Y,,52.34730,-130.86930,77,52.30800,-130.86550,88,52.3277,-130.8675,81,52.333,-130.867,28,30,496,258,8,8,100,8.03,520
39,2020,20200251,VNI,2107,22,2B,112,St. James,Standard grid,11-Jul-20,Y,,52.16800,-130.90870,113,52.16780,-130.84880,123,52.1678,-130.8788,122,52.167,-130.867,37,12,866,101,8,8,99,7.95,419
40,2020,20200252,VNI,2106,23,2B,112,St. James,Standard grid,11-Jul-20,Y,,52.18200,-130.58750,105,52.14580,-130.58180,110,52.1640,-130.5847,106,52.167,-130.583,65,21,"1,407",192,8,8,99,7.95,534
41,2020,20200253,VNI,2105,24,2B,112,St. James,Standard grid,12-Jul-20,Y,,52.16650,-130.34820,202,52.16830,-130.28000,230,52.1675,-130.3140,222,52.167,-130.317,1,0,42,0,8,8,99,7.95,432
42,2020,20200254,VNI,2104,25,2B,102,St. James,Standard grid,12-Jul-20,Y,,52.16550,-130.07520,107,52.16650,-130.01100,87,52.1660,-130.0432,93,52.167,-130.050,77,60,"1,321",520,8,8,99,7.95,553
43,2020,20200255,VNI,2118,26,2B,112,St. James,Standard grid,13-Jul-20,Y,,52.50100,-130.34830,132,52.49930,-130.28520,160,52.5002,-130.3168,144,52.500,-130.317,11,2,341,13,8,8,98,7.87,421
44,2020,20200256,VNI,2111,27,2B,112,St. James,Standard grid,13-Jul-20,Y,,52.33430,-130.07370,146,52.33400,-130.00920,82,52.3342,-130.0413,120,52.333,-130.050,27,9,668,78,8,8,99,7.95,528
45,2020,20200257,VNI,2099,28,2B,112,St. James,Standard grid,14-Jul-20,Y,,52.00120,-130.90830,49,51.99970,-130.84580,129,52.0003,-130.8770,86,52.000,-130.867,91,69,"1,969",577,8,7,99,6.96,456
46,2020,20200258,VNI,2093,29,2B,112,St. James,Standard grid,14-Jul-20,Y,,51.85130,-130.86550,95,51.80970,-130.86480,119,51.8305,-130.8652,106,51.833,-130.867,117,14,"4,159",122,8,8,100,8.03,589
47,2020,20200259,VNI,2092,30,2B,102,St. James,Standard grid,14-Jul-20,Y,,51.81480,-130.58150,176,51.85570,-130.58480,165,51.8353,-130.5832,163,51.833,-130.583,19,5,451,47,8,8,98,7.87,714
48,2020,20200260,BDP,2054,18,2B,91,Goose Is.,Standard grid,05-Jul-20,Y,,51.16670,-128.97250,72,51.16650,-129.03980,76,51.1665,-129.0062,74,51.167,-129.000,26,43,354,336,8,8,99,7.95,424
49,2020,20200261,BDP,2055,19,2B,91,Goose Is.,Standard grid,05-Jul-20,Y,,51.16670,-129.23470,130,51.16670,-129.30030,154,51.1667,-129.2675,145,51.167,-129.267,55,4,"1,287",32,8,8,99,7.95,542
50,2020,20200262,BDP,2049,20,2B,90,Goose Is.,Standard grid,05-Jul-20,Y,,51.00000,-129.23170,82,50.99970,-129.31030,91,50.9998,-129.2710,86,51.000,-129.267,16,15,251,120,8,8,99,7.95,654
51,2020,20200263,BDP,2062,21,2B,91,Goose Is.,Standard grid,06-Jul-20,Y,,51.33330,-129.21400,131,51.33330,-129.28050,127,51.3333,-129.2473,130,51.333,-129.250,9,16,117,139,8,8,99,7.95,479
52,2020,20200264,BDP,2063,22,2B,102,Goose Is.,Standard grid,06-Jul-20,Y,,51.33330,-129.48700,115,51.33330,-129.55370,108,51.3333,-129.5203,112,51.333,-129.517,69,26,"1,644",225,8,8,99,7.95,600
53,2020,20200265,BDP,2056,23,2B,100,Goose Is.,Standard grid,06-Jul-20,Y,,51.16670,-129.50270,155,51.16670,-129.56770,156,51.1667,-129.5352,155,51.167,-129.533,22,6,454,44,8,8,99,7.95,714
54,2020,20200266,BDP,2071,24,2B,102,Goose Is.,Standard grid,07-Jul-20,Y,,51.50000,-129.75470,90,51.50000,-129.82100,97,51.5000,-129.7878,93,51.500,-129.783,49,10,"1,365",88,8,8,99,7.95,420
55,2020,20200267,BDP,2072,25,2B,102,Goose Is.,Standard grid,07-Jul-20,Y,,51.50020,-130.01850,175,51.50000,-130.08330,144,51.5000,-130.0510,158,51.500,-130.050,10,1,288,10,8,8,99,7.95,560
56,2020,20200268,BDP,2265,26,2B,100,Goose Is.,Standard grid,07-Jul-20,Y,,51.33380,-130.00880,147,51.33330,-130.07670,220,51.3335,-130.0428,168,51.334,-130.050,72,5,"1,887",47,8,8,99,7.95,703
57,2020,20200269,BDP,2064,27,2B,102,Goose Is.,Standard grid,08-Jul-20,Y,,51.33380,-129.75280,130,51.33330,-129.81570,134,51.3335,-129.7843,133,51.333,-129.783,15,2,320,18,8,8,99,7.95,482
58,2020,20200270,BDP,2263,28,2B,100,Goose Is.,Deep expansion,08-Jul-20,Y,,51.16670,-129.72870,184,51.16670,-129.78870,320,51.1667,-129.7587,236,51.167,-129.783,45,1,"1,346",9,8,8,99,7.95,592
59,2020,20200271,BDP,2262,29,2B,100,Goose Is.,Deep expansion,08-Jul-20,Y,,51.20020,-129.97730,242,51.19850,-130.03930,309,51.1993,-130.0083,277,51.167,-130.049,10,0,321,0,8,8,99,7.95,705
60,2020,20200272,BDP,2261,30,2B,100,Goose Is.,Deep expansion,09-Jul-20,Y,,50.98700,-129.76780,252,51.01920,-129.80570,307,51.0032,-129.7867,287,51.000,-129.798,3,0,84,0,8,8,99,7.95,438
61,2020,20200273,BDP,2050,31,2B,90,Goose Is.,Standard grid,09-Jul-20,Y,,51.00000,-129.50230,132,51.00000,-129.56330,142,51.0000,-129.5328,131,51.000,-129.533,40,6,"1,143",48,8,8,99,7.95,551
62,2020,20200274,BDP,2258,32,2B,90,Goose Is.,Standard grid,09-Jul-20,Y,,50.86850,-129.53350,111,50.82950,-129.53320,390,50.8490,-129.5333,166,50.834,-129.533,49,3,"1,703",28,8,8,99,7.95,686
63,2020,20200275,BDP,2045,33,2B,90,Goose Is.,Standard grid,10-Jul-20,Y,,50.81670,-129.26700,73,50.85300,-129.26680,64,50.8348,-129.2670,68,50.833,-129.267,35,12,991,88,8,8,99,7.95,571
64,2020,20200276,BDP,2044,34,2B,90,Goose Is.,Standard grid,10-Jul-20,Y,,50.84280,-129.00000,47,50.79750,-129.00530,57,50.8202,-129.0027,50,50.833,-129.000,31,29,657,224,8,8,99,7.95,679
65,2020,20200277,BDP,2048,35,2B,91,Goose Is.,Standard grid,10-Jul-20,Y,,50.99180,-129.00270,45,51.03070,-129.00170,52,51.0113,-129.0022,47,51.000,-129.000,4,8,57,61,8,8,99,7.95,768
66,2020,20200278,BDP,2053,36,2B,91,Goose Is.,Standard grid,11-Jul-20,Y,,51.16620,-128.70470,65,51.16550,-128.76670,57,51.1658,-128.7357,56,51.167,-128.733,11,80,142,576,8,8,99,7.95,446
67,2020,20200279,BDP,2047,37,2B,91,Goose Is.,Standard grid,11-Jul-20,Y,,51.01650,-128.73300,39,50.97500,-128.73270,44,50.9957,-128.7328,39,51.000,-128.733,24,28,565,219,8,8,99,7.95,541
68,2020,20200280,BDP,2046,38,2B,91,Goose Is.,Standard grid,11-Jul-20,Y,,51.01680,-128.46950,53,50.97680,-128.46670,51,50.9968,-128.4682,53,51.000,-128.467,3,14,100,96,8,8,99,7.95,633
69,2020,20200281,BDP,2060,39,2B,91,Goose Is.,Standard grid,14-Jul-20,Y,,51.36900,-128.67500,118,51.32930,-128.67500,110,51.3492,-128.6750,114,51.333,-128.717,44,34,684,288,8,8,100,8.03,423
70,2020,20200282,BDP,2061,40,2B,91,Goose Is.,Standard grid,14-Jul-20,Y,,51.35720,-128.97370,127,51.35730,-129.03420,130,51.3573,-129.0038,129,51.333,-128.983,5,7,78,60,8,8,99,7.95,539
71,2020,20200283,BDP,2068,41,2B,102,Goose Is.,Standard grid,14-Jul-20,Y,,51.47680,-128.98370,33,51.51650,-128.98420,26,51.4967,-128.9838,26,51.500,-128.983,14,25,275,194,8,8,99,7.95,663
72,2020,20200284,BDP,2070,42,2B,102,Goose Is.,Standard grid,15-Jul-20,Y,,51.50000,-129.55080,64,51.50000,-129.49200,52,51.5000,-129.5213,57,51.500,-129.517,173,60,"5,401",500,8,8,99,7.95,485
73,2020,20200285,BDP,2069,43,2B,102,Goose Is.,Standard grid,15-Jul-20,Y,,51.50000,-129.28500,29,51.50000,-129.22130,25,51.5000,-129.2532,27,51.500,-129.250,14,12,329,100,8,8,100,8.03,646
74,2020,20200286,BDP,2075,44,2B,102,Goose Is.,Standard grid,15-Jul-20,Y,,51.66670,-129.27780,29,51.66670,-129.21320,31,51.6667,-129.2455,32,51.667,-129.250,1,9,20,70,8,8,99,7.95,745
75,2020,20200287,BDP,2077,45,2B,102,Goose Is.,Standard grid,16-Jul-20,Y,,51.66670,-129.81620,163,51.66650,-129.75770,122,51.6665,-129.7868,131,51.667,-129.783,18,4,466,31,8,8,99,7.95,448
76,2020,20200288,BDP,2076,46,2B,102,Goose Is.,Standard grid,16-Jul-20,Y,,51.66680,-129.54700,60,51.66670,-129.48430,48,51.6668,-129.5157,53,51.667,-129.517,6,21,74,171,8,8,99,7.95,578
77,2020,20200289,BDP,2082,47,2B,102,Goose Is.,Standard grid,16-Jul-20,Y,,51.83400,-129.54500,146,51.83320,-128.48220,133,51.8335,-129.0137,139,51.833,-129.517,17,4,311,30,8,8,99,7.95,707
78,2020,20200290,BDP,2085,48,2B,102,Goose Is.,Standard grid,17-Jul-20,Y,,52.01930,-129.19650,95,51.98070,-129.19680,95,52.0000,-129.1967,95,52.000,-129.233,48,23,691,189,8,8,100,8.03,419
79,2020,20200291,BDP,2081,49,2B,102,Goose Is.,Standard grid,17-Jul-20,Y,,51.83330,-129.26080,67,51.83330,-129.19750,67,51.8333,-129.2292,67,51.833,-129.233,25,62,373,509,8,8,99,7.95,530
80,2020,20200292,BDP,2080,50,2B,102,Goose Is.,Standard grid,17-Jul-20,Y,,51.83350,-129.00020,53,51.83330,-128.93500,40,51.8335,-128.9677,45,51.833,-128.967,30,96,532,787,8,8,99,7.95,667
81,2020,20200293,BDP,2066,51,2B,91,Goose Is.,Standard grid,18-Jul-20,Y,,51.52670,-128.45020,101,51.48650,-128.45000,104,51.5065,-128.4502,102,51.500,-128.450,1,0,14,0,8,8,99,7.95,426
82,2020,20200294,BDP,2065,52,2B,91,Goose Is.,Standard grid,18-Jul-20,Y,,51.51930,-128.19750,41,51.48070,-128.19650,55,51.5000,-128.1970,47,51.500,-128.183,14,12,506,79,8,8,99,7.95,523
83,2020,20200295,BDP,2058,53,2B,91,Goose Is.,Standard grid,18-Jul-20,Y,,51.33370,-128.21850,34,51.33330,-128.15400,51,51.3335,-128.1863,45,51.333,-128.183,3,23,43,145,8,8,99,7.95,617
84,2020,20200296,BDP,2264,54,2B,92,Goose Is.,Shallow expansion,19-Jul-20,Y,,51.33030,-127.62420,99,51.33080,-127.68420,54,51.3307,-127.6542,69,51.333,-127.650,2,1,25,5,8,8,99,7.95,420
85,2020,20200297,BDP,2057,55,2B,91,Goose Is.,Standard grid,19-Jul-20,Y,,51.33330,-127.88500,39,51.33320,-127.94800,87,51.3332,-127.9165,75,51.333,-127.917,7,10,216,77,8,8,99,7.95,524
86,2020,20200298,BDP,2266,56,2B,92,Goose Is.,Shallow expansion,20-Jul-20,Y,,51.66670,-127.35000,122,51.66670,-127.41330,150,51.6667,-127.3817,136,51.666,-127.381,14,1,491,9,8,8,99,7.95,412
87,2020,20200311,BDP,2299,57,2B,112,Charlotte,Standard grid,22-Jul-20,Y,,53.17100,-129.99400,34,53.17070,-130.05580,49,53.1708,-130.0248,48,53.167,-130.033,54,20,"1,640",159,8,8,99,7.95,421
88,2020,20200312,BDP,2137,58,2B,112,Charlotte,Standard grid,22-Jul-20,Y,,53.13870,-130.23300,72,53.13820,-130.29430,120,53.1383,-130.2637,103,53.167,-130.300,8,4,244,39,8,8,99,7.95,532
89,2020,20200313,BDP,2140,59,2B,121,Charlotte,Standard grid,22-Jul-20,Y,,53.33330,-130.32280,70,53.33330,-130.25670,56,53.3333,-130.2898,60,53.333,-130.300,67,36,"1,316",298,8,8,99,7.95,623
90,2020,20200314,BDP,2135,60,2B,112,Charlotte,Standard grid,23-Jul-20,Y,,52.97630,-130.30030,117,53.00150,-130.30000,117,52.9890,-130.3002,117,53.000,-130.300,19,1,417,8,8,8,99,7.95,518
91,2020,20200315,BDP,2136,61,2B,112,Charlotte,Standard grid,23-Jul-20,Y,,53.01230,-130.58270,50,52.97170,-130.58200,52,52.9920,-130.5823,52,53.000,-130.583,29,71,519,530,8,8,99,7.95,590
92,2020,20200316,BDP,2292,62,2B,121,Charlotte,Standard grid,23-Jul-20,Y,,53.01930,-130.86500,31,52.97830,-130.86580,19,52.9988,-130.8653,23,53.000,-130.867,25,10,716,69,8,8,99,7.95,681
93,2020,20200317,BDP,2133,63,2B,112,Charlotte,Standard grid,25-Jul-20,Y,,52.83280,-130.56450,66,52.83280,-130.62830,59,52.8328,-130.5965,62,52.833,-130.583,11,12,264,90,8,8,99,7.95,413
94,2020,20200318,BDP,2134,64,2B,112,Charlotte,Standard grid,25-Jul-20,Y,,52.85080,-130.86470,28,52.81050,-130.86850,30,52.8307,-130.8665,29,52.833,-130.867,29,11,623,83,8,8,99,7.95,505
95,2020,20200319,BDP,2131,65,2B,112,Charlotte,Standard grid,25-Jul-20,Y,,52.68900,-130.86720,51,52.65220,-130.86600,55,52.6707,-130.8665,52,52.667,-130.867,21,38,357,290,8,8,99,7.95,624
96,2020,20200320,BDP,2130,66,2B,112,Charlotte,Standard grid,26-Jul-20,Y,,52.47820,-131.41720,42,52.51650,-131.41600,166,52.4973,-131.4165,81,52.500,-131.417,16,1,491,10,8,8,99,7.95,429
97,2020,20200321,BDP,2129,67,2B,112,Charlotte,Standard grid,26-Jul-20,Y,,52.50020,-131.16820,43,52.50000,-131.10250,60,52.5000,-131.1353,49,52.500,-131.133,47,37,947,274,8,8,99,7.95,527
98,2020,20200322,BDP,2132,68,2B,112,Charlotte,Standard grid,26-Jul-20,Y,,52.64520,-131.13270,38,52.68380,-131.13400,42,52.6645,-131.1333,39,52.667,-131.133,15,7,344,48,8,8,99,7.95,629
